alimento,grupo,equivalencia_casera,kcal_por_100g
Trucha Fileteada,AOA BAG,1 gramos = 1 g,169
Trucha ahumada,AOA BAG,1 gramos = 1 g,170
Trucha cocida,AOA BAG,1 gramos = 1 g,170
Anguila,AOA MAG,1 gramos = 1 g,185
Arenque marinado,AOA MAG,1 filete = 184 g,159
Bistec de bola,AOA MAG,1 gramos = 1 g,284
Bola de res,AOA MAG,1 gramos = 1 g,284
Boquerones (fritos),AOA MAG,1 gramos = 1 g,175
Carne de suadero,AOA MAG,1 gramos = 1 g,262
Carne deshebrada,AOA MAG,1 gramos = 1 g,250
Carne molida extra magra cocida,AOA MAG,1 gramos = 1 g,250
Carne molida extra magra salteada,AOA MAG,1 gramos = 1 g,257
Caviar,AOA MAG,1 cucharadita = 5 g,248
Caviar negro,AOA MAG,1 cucharadita = 5 g,248
Caviar rojo,AOA MAG,1 cucharadita = 5 g,248
Chicharrón,AOA MAG,1 gramos = 1 g,600
Chicharrón de cerdo,AOA MAG,1 gramos = 1 g,600
Chicharrón de puerco,AOA MAG,1 gramos = 1 g,600
Costillar de cerdo,AOA MAG,1 gramos = 1 g,209
Costillitas de cerdo,AOA MAG,1 gramos = 1 g,209
Dedos Mozzarella,AOA MAG,1 pieza = 24 g,325
Escamol,AOA MAG,1 gramos = 1 g,573
Filete de salmón,AOA MAG,1 gramos = 1 g,183
Gusano blanco de maguey,AOA MAG,1 gramos = 1 g,607
Gusanos de maguey,AOA MAG,1 gramos = 1 g,200
"Huevo ""enriquecido con DHA-Omega 3 y Vitamina E""",AOA MAG,1 pieza = 55 g,127
Huevo Agra,AOA MAG,1 pieza = 55 g,127
Huevo batido o revuelto cocido,AOA MAG,1 cucharada = 14 g,168
Huevo blanco cocido,AOA MAG,1 pieza = 44 g,155
Huevo cocido,AOA MAG,1 pieza = 44 g,155
Huevo de codorniz fresco,AOA MAG,1 pieza = 8 g,156
Huevo deshidratado,AOA MAG,1 cucharada = 5 g,585
Huevo en polvo,AOA MAG,1 cucharada = 5 g,585
Huevo entero cocido,AOA MAG,1 pieza = 44 g,155
Huevo entero fresco,AOA MAG,1 pieza = 44 g,143
Huevo fresco,AOA MAG,1 pieza = 44 g,143
Huevo pochado,AOA MAG,1 pieza = 50 g,142
Huevo rojo cocido,AOA MAG,1 pieza = 44 g,155
Longaniza de primera,AOA MAG,1 gramos = 1 g,177
Macarela cocida,AOA MAG,1 filete = 88 g,262
Macarela fresca,AOA MAG,1 filete = 112 g,205
