food_id,medida_nombre,porcion_default,gramos_por_medida
galleta-de-barras-de-higo,pieza,1,16.0
galleta-de-animalito,pieza,6,2.5
galleta-de-manzana,pieza,1,15.0
galleta-dulce,pieza,2,8.0
galleta-dulce-sin-relleno,pieza,2,8.0
galleta-maria,pieza,5,3.8
galleta-para-sopa,pieza,14,1.29
galleta-salada,pieza,4,4.0
galleta-salada-integral,pieza,4,4.0
galleta-salada-molida,cucharada,2.5,6.0
galleta-de-avena-pasas,pieza,1.5,10.0
galletas-de-maiz-horneadas-sin-grasa-salmas,pieza,3,6.0
galletas-marias,pieza,5,3.8
galletas-marias-azucaradas,pieza,4,4.0
gluten-de-trigo,cucharada,3,6.0
granola-baja-en-grasa,cucharada,3,6.0
granola-con-fruta-seca-baja-en-grasas,cucharada,3,6.0
granola-quaker-sabor-pasas-y-miel,taza,0.66,30.3
habaneras-arandano-ciruela,pieza,2,9.0
habaneras-bran-trigo-entero,pieza,2,9.0
habaneras-bran-trigo-entero-2,galletas,4,4.5
habaneras-clasicas,galletas,4,4.5
habaneras-clasicas-2,pieza,4,4.5
habaneras-integrales,galletas,4,4.5
habaneras-integrales-2,pieza,4,4.5
harina,cucharada,2.5,8.0
harina-blanca,cucharada,2.5,8.0
harina-blanca-refinada,gramos,20,1.0
harina-de-alforfon,cucharada,2.5,8.0
harina-de-amaranto,cucharada,2,9.5
harina-de-arroz,cucharada,2,10.0
harina-de-arroz-refinada,cucharada,2,10.0
harina-de-avena,cucharada,2,8.0
harina-de-cebada,cucharada,2,9.0
harina-de-cebada-2,cucharada,2.5,8.0
harina-de-centeno,cucharada,2,9.0
harina-de-centeno-integral,cucharada,2.5,8.0
harina-de-maiz,cucharada,2.5,7.2
harina-de-maiz-nixtamalizada,cucharada,2.5,7.2
harina-de-maiz-para-atole,cucharada,2,7.5
harina-de-maiz-para-tamales,cucharada,2,7.0
harina-de-malta,cucharada,2,9.0
harina-de-papa,cucharada,2,9.5
harina-de-quinoa,cucharada,3,8.0
harina-de-tapioca,cucharada,2.5,8.0
harina-de-trigo,cucharada,2.5,8.0
harina-de-trigo-integral,cucharada,2.5,7.6
harina-de-trigo-para-panificacion,cucharada,2,8.5
harina-de-trigo-para-pasteleria,cucharada,2.5,6.8
harina-integral,cucharada,2.5,7.6
harina-integral-de-centeno,cucharada,2.5,8.0
harina-integral-de-trigo,cucharada,2.5,7.6
harina-kamut,cucharada,2,9.0
harina-nixtamalizada,cucharada,2.5,7.2
